strain(%),G/Gmax,damping(%)
0.0001,1,0.7
0.0002,1,0.9
0.0005,0.996,1.7
0.001,0.984,2.7
0.002,0.975,4.2
0.005,0.922,7.2
0.01,0.85,9.8
0.02,0.734,12.7
0.05,0.532,17.3
0.1,0.367,20.7
0.2,0.224,23.5
0.5,0.139,26.3
1,0.085,27.9
2,0.051,28.9
5,0.027,29.9
