strain(%),G/Gmax,damping(%)
0.0001,1,0.8
0.001,1,0.95
0.003,0.98,1.33
0.01,0.899,2.32
0.03,0.731,4.46
0.1,0.495,8.65
0.3,0.269,14.7
1,0.117,21.4
3,0.071,25
10,0.071,25
