strain(%),G/Gmax,damping(%)
0.0001,1,0.282
0.0003,1,0.402
0.001,1,0.726
0.003,0.9597,1.41
0.01,0.8523,2.898
0.03,0.6711,5.235
0.1,0.4067,9.342
0.3,0.2081,13.773
1,0.0872,19.851
3,0.0846,25.974
10,0.0846,28.791
