strain(%),G/Gmax,damping(%)
0.0001,1,0.64
0.001,1,0.64
0.003,0.987,0.79
0.01,0.946,1.14
0.03,0.85,2.48
0.1,0.65,5.31
0.3,0.405,10.17
1,0.2,16.61
