strain(%),G/Gmax,damping(%)
0.0001,1,0.282
0.0003,1,0.402
0.001,0.987,0.726
0.003,0.96,1.41
0.01,0.852,2.898
0.03,0.658,5.235
0.1,0.369,10.068
0.3,0.192,15.825
1,0.087,21.261
3,0.085,21.342
10,0.085,21.342
