strain(%),G/Gmax,damping(%)
0.0001,1,0.8
0.001,1,0.8
0.003,0.987,1.06
0.01,0.929,1.75
0.03,0.787,3.55
0.1,0.568,7.05
0.3,0.316,12.8
1,0.148,19.3
3,0.087,23
10,0.087,23
