strain(%),G/Gmax,damping(%)
0.0001,1,0.3
0.0002,0.994,0.4
0.0005,0.966,0.6
0.001,0.926,0.8
0.002,0.872,1.1
0.005,0.756,1.8
0.01,0.631,2.7
0.02,0.5,4
0.05,0.333,6.8
0.1,0.224,9.8
0.2,0.148,12.7
0.5,0.072,17.3
1,0.04,20.4
2,0.018,22.6
5,0.009,24.8
