strain(%),G/Gmax,damping(%)
0.0001,1,0.5
0.0002,0.998,0.8
0.0005,0.98,1.3
0.001,0.949,1.9
0.002,0.917,2.5
0.005,0.832,3.7
0.01,0.729,5.3
0.02,0.6,7.7
0.05,0.421,12
0.1,0.291,15.3
0.2,0.188,18.7
0.5,0.098,22.6
1,0.06,24.4
2,0.036,25.9
5,0.016,27.3
